id,title,year,runtime,parental_guide,gross_us_canada
1305806,El secreto de sus ojos,2009,129,16,6391436.0
2096673,Binnenstebuiten,2015,95,AL,356921711.0
1392214,Prisoners,2013,153,16,61002302.0
5027774,"Three Billboards Outside Ebbing, Missouri",2017,115,16,54513740.0
0050212,The Bridge on the River Kwai,1957,161,14,27200000.0
0117951,Trainspotting,1996,93,16,16491080.0
0116282,Fargo,1996,98,16,24611975.0
1291584,Warrior,2011,140,16,13657115.0
1205489,Gran Torino,2008,116,12,148095302.0
0264464,Catch Me If You Can,2002,141,12,164615351.0
0096283,My Neighbor Totoro,1988,86,6,2250213.0
0405159,Million Dollar Baby,2004,132,12,100492203.0
4729430,Klaus,2019,96,6,
1201607,Harry Potter and the Deathly Hallows: Part 2,2011,130,12,381447587.0
0118849,Bacheha-Ye aseman,1997,89,PG,933933.0
0083658,Blade Runner,1982,117,12,32914489.0
2024544,12 Years a Slave,2013,134,16,56671993.0
0112471,Before Sunrise,1995,101,AL,5535405.0
0015864,The Gold Rush,1925,95,Passed,
2278388,The Grand Budapest Hotel,2014,99,6,59301324.0
0052618,Ben Hur,1959,212,14,74432704.0
2267998,Gone Girl,2014,149,16,167767189.0
0072684,Barry Lyndon,1975,185,12,
0047296,On the Waterfront,1954,108,AL,
2119532,Hacksaw Ridge,2016,139,16,67209615.0
0107207,In the Name of the Father,1993,133,16,25096862.0
0017925,The General,1926,78,AL,
0077416,The Deer Hunter,1978,183,16,48979328.0
0353969,Salinui chueok,2003,131,16,15357.0
0050986,Smultronstället,1957,91,12,
0046268,Het loon van de Angst,1953,131,18,
0041959,The Third Man,1949,104,6,1067364.0
3011894,Relatos salvajes,2014,122,16,3106530.0
0015324,Sherlock Jr.,1924,45,Passed,977375.0
1392190,Mad Max: Fury Road,2015,120,16,154280290.0
0097165,Dead Poets Society,1989,128,AL,95860116.0
0031679,Mr. Smith Goes to Washington,1939,129,AL,144738.0
0198781,"Monsters, Inc.",2001,92,AL,290642256.0
0892769,How to Train Your Dragon,2010,98,6,217581231.0
0073195,De zomer van de witte haai,1975,124,16,265859065.0
0978762,Mary and Max,2009,92,Unrated,
0050976,Det sjunde inseglet,1957,96,Unrated,
3170832,Room,2015,118,12,14677654.0
0118715,The Big Lebowski,1998,117,12,18254458.0
1950186,Le Mans '66,2019,152,6,117624357.0
0046438,Tokyo Story,1953,136,AL,
0382932,Ratatouille,2007,111,AL,206445654.0
0075148,Rocky,1976,120,14,117235147.0
0395169,Hotel Rwanda,2004,121,16,23530892.0
0019254,La passion de Jeanne d'Arc,1928,110,Passed,21877.0
3315342,Logan,2017,137,16,226277068.0
0091763,Platoon,1986,120,16,138530565.0
1895587,Spotlight,2015,129,6,45055776.0
0088247,De uitroeier,1984,107,16,38371200.0
15097216,Jai Bhim,2021,164,16,
0381681,Before Sunset,2004,80,AL,5820649.0
1979320,Rush,2013,123,12,26947624.0
0074958,Network,1976,121,14,23689877.0
0092005,Stand by Me,1986,89,AL,52287414.0
0036868,De beste jaren van ons leven,1946,170,Approved,23650000.0
0113247,La haine,1995,98,16,280859.0
0032138,The Wizard of Oz,1939,102,AL,24668669.0
0758758,Into the Wild,2007,148,12,18354356.0
0070047,The Exorcist,1973,122,18,233005644.0
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,12,305413918.0
0317705,The Incredibles,2004,115,MG6,261441092.0
0035446,Spionnage in het spel,1942,99,14,3270000.0
0032551,The Grapes of Wrath,1940,129,6,
0107048,Groundhog Day,1993,101,AL,71107962.0
1028532,Hachi,2009,93,AL,
0058946,De slag om Algiers,1966,121,16,879794.0
0476735,Babam ve Oglum,2005,112,Unrated,
4016934,Ah-ga-ssi,2016,145,16,2006788.0
0245712,Amores perros,2000,154,16,5408467.0
0032976,Rebecca,1940,130,18,
0061512,Cool Hand Luke,1967,127,12,
0059742,The Sound of Music,1965,172,Unrated,159287539.0
0048473,Pather Panchali,1955,125,AL,134241.0
0025316,Het gebeurde op 'n avond,1934,105,AL,
0129167,De IJzeren reus,1999,86,AL,23315035.0
1454029,The Help,2011,146,12,169708112.0
0053198,Les quatre cents coups,1959,99,18,509.0
0060827,Persona,1966,85,12,
0079470,Monty Python's Life of Brian,1979,94,12,20206622.0
0103639,Aladdin,1992,90,6,217350219.0
0099348,Dances with Wolves,1990,181,12,184208848.0
